Date,Open,High,Low,Close,Adj Close,Volume
2013-11-14,127.000000,127.940002,126.790001,127.480003,108.674515,307100
2013-11-15,127.680000,128.320007,127.570000,127.980003,109.100761,311600
2013-11-18,127.610001,128.600006,127.260002,127.650002,108.819443,846300
2013-11-19,126.309998,126.769997,125.790001,126.239998,107.617439,731300
2013-11-20,126.220001,126.739998,125.809998,126.050003,107.455467,285800
2013-11-21,125.110001,125.800003,125.110001,125.610001,107.080376,635300
2013-11-22,125.720001,126.760002,125.440002,126.309998,107.677109,385000
2013-11-25,126.500000,126.500000,125.459999,125.599998,107.071854,263100
2013-11-26,125.209999,125.349998,124.760002,124.930000,106.500687,291600
2013-11-27,125.000000,125.680000,124.910004,125.209999,106.739380,246200
2013-11-29,125.050003,125.489998,124.889999,125.050003,106.602997,184500
2013-12-02,124.820000,125.550003,124.040001,124.099998,105.793121,521200
2013-12-03,123.550003,124.080002,122.529999,123.610001,105.375397,489400
2013-12-04,122.459999,123.589996,122.110001,123.110001,104.949173,389400
2013-12-05,122.300003,122.419998,121.260002,121.599998,103.661911,460100
2013-12-06,122.279999,123.139999,122.279999,122.739998,104.633736,283800
2013-12-09,122.650002,122.930000,122.269997,122.430000,104.369476,326000
2013-12-10,121.379997,121.940002,121.300003,121.699997,103.747162,362600
2013-12-11,121.330002,121.820000,120.199997,120.339996,102.587784,414500
2013-12-12,120.650002,120.989998,120.260002,120.339996,102.587784,324800
2013-12-13,120.000000,120.000000,118.919998,119.220001,101.633011,595100
2013-12-16,118.559998,119.139999,118.410004,118.650002,101.147102,661700
2013-12-17,118.489998,119.110001,118.110001,118.629997,101.130035,343200
2013-12-18,120.010002,121.089996,119.190002,121.040001,103.184540,680600
2013-12-19,118.930000,119.220001,118.370003,118.709999,101.198242,691900
2013-12-20,118.470001,118.820000,118.209999,118.750000,101.232353,340700
2013-12-23,118.949997,119.449997,118.779999,119.269997,101.675629,395000
2013-12-24,118.250000,118.620003,118.250000,118.610001,101.112999,289100
2013-12-26,120.410004,121.959999,120.410004,121.690002,103.738655,434900
2013-12-27,122.470001,122.480003,121.449997,121.879997,103.900612,292900
2013-12-30,122.870003,122.870003,121.320000,121.360001,103.457329,288600
2013-12-31,121.500000,121.919998,121.220001,121.919998,103.934708,230000
2014-01-02,121.599998,121.599998,120.099998,120.629997,102.835014,239400
2014-01-03,121.000000,121.290001,119.870003,120.510002,102.732704,530500
2014-01-06,120.879997,120.980003,120.000000,120.169998,102.442863,441100
2014-01-07,120.389999,120.589996,119.989998,120.459999,102.690094,306200
2014-01-08,120.180000,120.180000,119.650002,119.849998,102.170067,349400
2014-01-09,120.330002,120.500000,119.589996,120.330002,102.579277,338500
2014-01-10,120.489998,120.889999,120.000000,120.809998,102.988457,242000
2014-01-13,120.500000,120.500000,119.199997,119.400002,101.786469,421600
